Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20150101;1;-0;15557,138
20150101;2;-0;14727,413
20150101;3;-0;13979,463
20150101;4;-0;13453,775
20150101;5;-0;13306
20150101;6;-0;13175,575
20150101;7;-0;13165,113
20150101;8;-0;13029,75
20150101;9;-0;12945,35
20150101;10;-0;13454,675
20150101;11;-0;14094,525
20150101;12;-0;14717,888
20150101;13;-0;15188,363
20150101;14;-0;15637,263
20150101;15;-0;15698,788
20150101;16;-0;15882,163
20150101;17;-0;17216,188
20150101;18;-0;17645,913
20150101;19;-0;17543,6
20150101;20;-0;17552,65
20150101;21;-0;17264,15
20150101;22;-0;16559,75
20150101;23;-0;15860,238
20150101;24;-0;14705,775
20150102;1;13828;13720,8
20150102;2;13212;13258,475
20150102;3;13028;13010,575
20150102;4;13056;13006,9
20150102;5;13426;13241,45
20150102;6;14309;13985,825
20150102;7;15800;15719,825
20150102;8;17283;16899,625
20150102;9;17764;17782,8
20150102;10;18537;18763,35
20150102;11;19148;19358,025
20150102;12;19441;19743,775
20150102;13;19702;20030,825
20150102;14;19830;20491,95
20150102;15;20050;20393,95
20150102;16;20328;20516,4
20150102;17;21690;21503,975
20150102;18;21629;21448,8
20150102;19;21356;21109,575
20150102;20;21079;20924,3
20150102;21;20360;20286,175
20150102;22;19090;19113,525
20150102;23;17590;17908,1
20150102;24;16215;16641,7
20150103;1;15168;15491,375
20150103;2;14349;14866,75
20150103;3;13955;14559,7
20150103;4;13834;14399,3
20150103;5;13946;14584,075
20150103;6;14373;14754,5
20150103;7;15354;15689,425
20150103;8;16219;16285,25
20150103;9;17170;17005,975
20150103;10;18296;18138,15
20150103;11;18982;18846,65
20150103;12;19308;19193,75
20150103;13;19371;19228,25
20150103;14;19484;19455,45
20150103;15;19230;19216,575
20150103;16;19599;19568,15
20150103;17;20782;20674,05
20150103;18;20909;20548,275
20150103;19;20614;20469,95
20150103;20;20460;20157,95
20150103;21;19780;19535,675
20150103;22;18609;18337,525
20150103;23;17347;17324,4
20150103;24;16205;16106,925
20150104;1;14800;15072,2
20150104;2;14000;14350,25
20150104;3;13500;13946,2
20150104;4;13250;13792,85
20150104;5;13300;13817,225
20150104;6;13400;13964,8
20150104;7;13900;14381,15
20150104;8;14100;14469,725
20150104;9;15000;15067,3
20150104;10;15900;16019,325
20150104;11;16600;16764,95
20150104;12;16850;17174,65
20150104;13;17150;17300,2
20150104;14;17300;17593,1
20150104;15;17050;17347,425
20150104;16;17800;17553,35
20150104;17;19000;19026,25
20150104;18;19150;19287,325
20150104;19;19200;19294,875
20150104;20;19300;19320,15
20150104;21;18700;18646,8
20150104;22;17900;17920,375
20150104;23;16900;16953,075
20150104;24;15600;15826,7
20150105;1;14800;14796,225
20150105;2;14300;14212,15
20150105;3;14100;14036,875
20150105;4;14050;13981,175
20150105;5;14325;14320,725
20150105;6;15100;15035,9
20150105;7;16875;17081,275
20150105;8;18475;18428,8
20150105;9;19375;19411,8
20150105;10;20150;20241,275
20150105;11;20500;20542,625
20150105;12;20775;20803,025
20150105;13;20825;20876,925
20150105;14;21000;21171,425
20150105;15;20825;20995,2
20150105;16;21025;20977,075
20150105;17;22375;22323
20150105;18;22550;22399,275
20150105;19;22300;22214,55
20150105;20;22075;21919,6
20150105;21;21475;21086,425
20150105;22;20150;19861,45
20150105;23;18700;18574,75
20150105;24;17300;17262,925
20150106;1;15900;16169,95
20150106;2;15000;15395,75
20150106;3;14400;15059,275
20150106;4;14200;14924,775
20150106;5;14200;14872,975
20150106;6;14100;14824,925
20150106;7;14400;15005,05
20150106;8;14400;15064,275
20150106;9;15300;15570,9
20150106;10;16100;16433,725
20150106;11;16700;17014,85
20150106;12;17100;17398,95
20150106;13;17400;17560,925
20150106;14;17600;17905,55
20150106;15;17400;17608,8
20150106;16;17900;17647,95
20150106;17;19100;19321,025
20150106;18;19200;19796,925
20150106;19;19300;19897,25
20150106;20;19300;19907,7
20150106;21;18800;19579,05
20150106;22;18000;18636,025
20150106;23;17100;17812,3
20150106;24;15900;16429,1
20150107;1;15000;15520,7
20150107;2;14500;15134,425
20150107;3;14200;14919,15
20150107;4;14200;15074,675
20150107;5;14800;15366,05
20150107;6;16300;16505,625
20150107;7;19700;19846,4
20150107;8;20700;21757,35
20150107;9;21500;22658,3
20150107;10;21800;23187,25
20150107;11;22000;23307,675
20150107;12;22100;23492,4
20150107;13;22300;23582,85
20150107;14;22500;23708,425
20150107;15;22200;23499,675
20150107;16;22600;23527,85
20150107;17;23800;24799,9
